ID,year-of-birth,Education,marital-status ,income,num-of-kids,number-of-teens,days-since-last-purchase,amount-spent
5524,1957,Graduation,Single,58138,0,0,58,635
2174,1954,Graduation,Single,46344,1,1,38,11
4141,1965,Graduation,Together,71613,0,0,26,426
6182,1984,Graduation,Together,26646,1,0,26,11
5324,1981,PhD,Married,58293,1,0,94,173
7446,1967,Master,Together,62513,0,1,16,520
965,1971,Graduation,Divorced,55635,0,1,34,235
6177,1985,PhD,Married,33454,1,0,32,76
4855,1974,PhD,Together,30351,1,0,19,14
5899,1950,PhD,Together,5648,1,1,68,28
1994,1983,Graduation,Married,,1,0,11,5
387,1976,Basic,Married,7500,0,0,59,6
2125,1959,Graduation,Divorced,63033,0,0,82,194
8180,1952,Master,Divorced,59354,1,1,53,233
2569,1987,Graduation,Married,17323,0,0,38,3
2114,1946,PhD,Single,82800,0,0,23,1006
9736,1980,Graduation,Married,41850,1,1,51,53
4939,1946,Graduation,Together,37760,0,0,20,84
6565,1949,Master,Married,76995,0,1,91,1012
2278,1985,2n Cycle,Single,33812,1,0,86,4
9360,1982,Graduation,Married,37040,0,0,41,86
5376,1979,Graduation,Married,2447,1,0,42,1
1993,1949,PhD,Married,58607,0,1,63,867
4047,1954,PhD,Married,65324,0,1,0,384
1409,1951,Graduation,Together,40689,0,1,69,270
7892,1969,Graduation,Single,18589,0,0,89,6
2404,1976,Graduation,Married,53359,1,1,4,173
5255,1986,Graduation,Single,,1,0,19,5
9422,1989,Graduation,Married,38360,1,0,26,36
1966,1965,PhD,Married,84618,0,0,96,684
6864,1989,Master,Divorced,10979,0,0,34,8
3033,1963,Master,Together,38620,0,0,56,112
5710,1970,Graduation,Together,40548,0,1,31,110
7373,1952,PhD,Divorced,46610,0,2,8,96
8755,1946,Master,Married,68657,0,0,4,482
10738,1951,Master,Single,49389,1,1,55,40
4339,1970,PhD,Married,67353,0,1,37,702
10755,1976,2n Cycle,Married,23718,1,0,76,6
8595,1973,Graduation,Widow,42429,0,1,99,55
2968,1943,PhD,Divorced,48948,0,0,53,437
8601,1980,Graduation,Married,80011,0,1,3,421
503,1985,Master,Married,20559,1,0,88,13
8430,1957,Graduation,Together,21994,0,1,4,9
7281,1959,PhD,Single,,0,0,80,81
2139,1975,Master,Married,7500,1,0,19,3
1371,1976,Graduation,Single,79941,0,0,72,123
9909,1996,2n Cycle,Married,7500,0,0,24,3
7286,1968,Graduation,Together,41728,1,0,92,13
7244,1951,Graduation,Single,,2,1,96,48
